height,time,proposer_hex,proposer_moniker
60362801,2026-04-27T14:08:41.541128123Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362802,2026-04-27T14:08:42.373229514Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362803,2026-04-27T14:08:46.038820113Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362804,2026-04-27T14:08:47.048504651Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362805,2026-04-27T14:08:49.047246819Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362806,2026-04-27T14:08:50.14698232Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362807,2026-04-27T14:08:51.035051616Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362808,2026-04-27T14:08:51.85857444Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362809,2026-04-27T14:08:52.818170971Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362810,2026-04-27T14:08:53.779837317Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362811,2026-04-27T14:08:54.638305138Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362812,2026-04-27T14:08:55.550308073Z,6239A498C22DF3EC3FB0CA2F96D15535F6F3387A,6239A4…387A
60362813,2026-04-27T14:08:56.510300717Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362814,2026-04-27T14:08:57.342995714Z,583AE736E67DF9D72FE87B9AA7D3210D3B4B0E5A,583AE7…0E5A
60362815,2026-04-27T14:08:58.198467363Z,6E705424231DCEEC337EB451BC4C1D2C5FBA48C9,6E7054…48C9
60362816,2026-04-27T14:09:01.948044041Z,6E705424231DCEEC337EB451BC4C1D2C5FBA48C9,6E7054…48C9
60362817,2026-04-27T14:09:02.847072458Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362818,2026-04-27T14:09:03.719750928Z,46DEA137CFB10BC419B2577AA9A58718680E18BA,46DEA1…18BA
60362819,2026-04-27T14:09:04.493814625Z,DA4AF19A378C09B54C26C3467CB0ADF889292954,DA4AF1…2954
60362820,2026-04-27T14:09:05.315417666Z,5F999A4BE254869925A7F2FEA04D7B3B836CFF0B,5F999A…FF0B
60362821,2026-04-27T14:09:06.168887175Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362822,2026-04-27T14:09:07.29866365Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362823,2026-04-27T14:09:08.249441816Z,F0C8B6ADDAF7CC4ECE57086607A9A0C7EA6275E0,F0C8B6…75E0
60362824,2026-04-27T14:09:09.041020172Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362825,2026-04-27T14:09:09.876346947Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362826,2026-04-27T14:09:10.734551741Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362827,2026-04-27T14:09:11.661350316Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362828,2026-04-27T14:09:12.531569175Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362829,2026-04-27T14:09:14.511671898Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362830,2026-04-27T14:09:15.509355018Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362831,2026-04-27T14:09:17.581649237Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362832,2026-04-27T14:09:18.466647547Z,7D53D76F2DB86BE30A9B26CADEA69078531AB9BB,7D53D7…B9BB
60362833,2026-04-27T14:09:19.321477241Z,16A169951A878247DBE258FDDC71638F6606D156,16A169…D156
60362834,2026-04-27T14:09:20.248384671Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362835,2026-04-27T14:09:21.135065416Z,E08FBA0FE999707D1496BAAB743EAB27784DC1C5,E08FBA…C1C5
60362836,2026-04-27T14:09:22.108084762Z,A9C4E0E2AF00183DA11434ED413219905E9A868D,A9C4E0…868D
60362837,2026-04-27T14:09:22.963667244Z,C9E615289D1D92E50292C3B0BD8358D9B2E40290,C9E615…0290
60362838,2026-04-27T14:09:23.841211195Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362839,2026-04-27T14:09:24.700844711Z,7EDB006522610C58283E30644A14F27BCC0D32ED,7EDB00…32ED
60362840,2026-04-27T14:09:25.534626851Z,9CBF2EFFD5570B3A9A41346244757CDA3E18D401,9CBF2E…D401
60362841,2026-04-27T14:09:26.531691291Z,04C83AA20F7563BBCBCF6AA150EF6B0C81808DAA,04C83A…8DAA
60362842,2026-04-27T14:09:27.605879971Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362843,2026-04-27T14:09:28.510242804Z,B15069E41B1A60FF03AE8D8F741F78C7B1144FBE,B15069…4FBE
60362844,2026-04-27T14:09:29.44777901Z,D24B7A32413338C2AA26FC0016D91FBE73BB5EAE,D24B7A…5EAE
60362845,2026-04-27T14:09:30.378592379Z,39327692C258A57970EF53F0AA4D3C00F95988B8,393276…88B8
60362846,2026-04-27T14:09:31.323168099Z,C71EF3C044998473B4CECCAE99771976F198D4A5,C71EF3…D4A5
60362847,2026-04-27T14:09:33.331052032Z,2022FE8CC49E48630C76160E11A880459219D244,2022FE…D244
60362848,2026-04-27T14:09:34.333708064Z,9CBEC8CBD4ED3AAD4BB2B0346EFC86A6C41F9160,9CBEC8…9160
60362849,2026-04-27T14:09:35.17733508Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362850,2026-04-27T14:09:36.060629086Z,19EC0A155A5BE755E76D0059EF730EBCA122B4F1,19EC0A…B4F1
60362851,2026-04-27T14:09:36.912150777Z,26F7777BD52918AE71801022B0E2DEED97DDD504,26F777…D504
60362852,2026-04-27T14:09:37.840062283Z,9D0281786872D3BBE53C58FBECA118D86FA82177,9D0281…2177
60362853,2026-04-27T14:09:39.818947147Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
60362854,2026-04-27T14:09:40.830779726Z,95B002DE67707313D123D06492F1A7A58478E546,95B002…E546
60362855,2026-04-27T14:09:41.67212942Z,901FD122CC512EF13DE8E1A3D7953BFDDC0786D6,901FD1…86D6
60362856,2026-04-27T14:09:42.514171714Z,99063B919404B6950A79A6A31E370378FE07020D,99063B…020D
60362857,2026-04-27T14:09:43.36501188Z,C8969171F9B5A3354C712A20F007CDE0648C990F,C89691…990F
60362858,2026-04-27T14:09:44.208243231Z,0CEB917DE4DF1C4B4F8EDFC4ACE6FD6D39F1E61E,0CEB91…E61E
60362859,2026-04-27T14:09:45.073975532Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362860,2026-04-27T14:09:45.981922875Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362861,2026-04-27T14:09:46.827989212Z,0A70912D18E13D78CB32E6322A4E57F861E6C3C8,0A7091…C3C8
60362862,2026-04-27T14:09:47.671292749Z,51D7D05A659208A6576190AEBBE8F07603851515,51D7D0…1515
60362863,2026-04-27T14:09:48.490352237Z,CDC018822747024BEAFD10A45ABECC7AC19CBAB0,CDC018…BAB0
60362864,2026-04-27T14:09:49.317869357Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362865,2026-04-27T14:09:53.082465782Z,72B1489EFB57A680577A838A5BAAEBE162A7C802,72B148…C802
60362866,2026-04-27T14:09:54.011795203Z,943547CACB29C55797E121ACB4E586C49D9D39FD,943547…39FD
60362867,2026-04-27T14:09:54.794569353Z,4B56B7D3FB47183A3CED7AE24C9AA0F0DEB0BB04,4B56B7…BB04
60362868,2026-04-27T14:09:55.761733344Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362869,2026-04-27T14:09:59.459844475Z,7341E970B9B3EFF82B2060D3469FC50D7AF04146,7341E9…4146
60362870,2026-04-27T14:10:00.414876491Z,0F8C8B45D09F25CD279CFA53C01B9BA7A3FC616E,0F8C8B…616E
60362871,2026-04-27T14:10:01.539152547Z,CB5A63B91E8F4EE8DB935942CBE25724636479E0,CB5A63…79E0
60362872,2026-04-27T14:10:02.428549048Z,F9A968A405FB0429410AE5165E5F2193271E678A,F9A968…678A
60362873,2026-04-27T14:10:04.41303229Z,06F45C36FCB957E55D923A6D4E905C2D715115AD,06F45C…15AD
60362874,2026-04-27T14:10:05.242268901Z,63481F6DCAAF733D2FC953A335C2200EE190862C,63481F…862C
60362875,2026-04-27T14:10:06.240720229Z,7E11ED7DD06FAE7B0BEDB469721151F2F31CBB6A,7E11ED…BB6A
60362876,2026-04-27T14:10:07.37031761Z,66B69666EBF776E7EBCBE197ABA466A712E27076,66B696…7076
60362877,2026-04-27T14:10:08.227937432Z,97AFE45395B74E784C88D45E5CCA2995019FAE08,97AFE4…AE08
60362878,2026-04-27T14:10:09.074264489Z,17386B308EF9670CDD412FB2F3C09C5B875FB8B8,17386B…B8B8
